point_id_测试点编号,frame_id_帧编号,timestamp_时间戳,found_是否检测到,cx_中心x,cy_中心y,area_面积,circularity_圆度,Xc_m_相机X,Yc_m_相机Y,Zc_m_相机Z,valid_3d_points_有效3D点数量
1,24,1777996083.9203527,True,668,132,1370.5,0.8135382904398396,0.003007130464538932,-0.0652579665184021,0.21160121262073517,220
1,25,1777996083.9864166,True,668,132,1361.0,0.8277744498523278,0.002177285961806774,-0.06630660593509674,0.21211636066436768,421
1,26,1777996084.0532725,True,668,133,1365.5,0.7976725193380755,0.001221551327034831,-0.06674592941999435,0.21190539002418518,430
1,27,1777996084.1200943,True,668,133,1358.0,0.799666177204093,0.001979389227926731,-0.06716583669185638,0.21189509332180023,685
1,28,1777996084.1880093,True,668,132,1361.0,0.7799307704345438,0.0030241936910897493,-0.06491412967443466,0.21091976761817932,255
1,29,1777996084.2525814,True,668,132,1363.5,0.7965041950563672,0.0019116855692118406,-0.0659930408000946,0.21137192845344543,403
1,30,1777996084.3215098,True,668,132,1365.0,0.8168375408310083,0.004885917995125055,-0.06433694064617157,0.2108483463525772,172
1,31,1777996084.3865979,True,668,133,1354.5,0.7912467416236518,0.0014910554746165872,-0.06645090878009796,0.21161089837551117,436
1,32,1777996084.4536362,True,668,132,1358.5,0.8064150073422269,0.0014984485460445285,-0.06630303710699081,0.21182143688201904,335
1,33,1777996084.5198658,True,668,132,1355.0,0.8202044208634528,0.0017205082112923265,-0.06646884977817535,0.21158449351787567,436
1,34,1777996084.587451,True,668,132,1372.0,0.8210264512968085,0.002164764329791069,-0.06575540453195572,0.21132706105709076,342
1,35,1777996084.6529596,True,668,133,1359.5,0.7941675516681972,0.0005752966972067952,-0.06721771508455276,0.21182546019554138,266
1,36,1777996084.7210755,True,668,133,1356.0,0.7984884669061004,0.0008923951536417007,-0.06732205301523209,0.21237024664878845,451
1,37,1777996084.7878435,True,668,132,1367.5,0.7988408423250224,0.0032150305341929197,-0.06516596674919128,0.21179239451885223,278
1,38,1777996084.8538656,True,668,132,1369.0,0.8099441997895335,0.003623260883614421,-0.06468548625707626,0.2115195393562317,172
1,39,1777996084.9215288,True,668,132,1359.5,0.7816305536265655,0.0021122205071151257,-0.06646993011236191,0.21196295320987701,493
1,40,1777996084.9899123,True,668,133,1358.5,0.8156770963259024,0.0007095177425071597,-0.06730523705482483,0.21231447160243988,299
1,41,1777996085.0551674,True,668,132,1364.0,0.8162391263931118,0.0036735855974256992,-0.06483574956655502,0.21131126582622528,204
1,42,1777996085.120748,True,668,132,1365.0,0.8439079959300013,0.002264876151457429,-0.0666472539305687,0.21150745451450348,578
1,43,1777996085.2088912,True,668,133,1358.5,0.8195603777302758,0.0012223711237311363,-0.06687741726636887,0.2110406458377838,503
1,44,1777996085.2762067,True,668,133,1356.5,0.8052277934926249,0.0029624870512634516,-0.06495373696088791,0.2108754962682724,278
1,45,1777996085.343951,True,668,132,1354.5,0.8040405783254864,0.0016475998563691974,-0.06663226336240768,0.21150998771190643,480
1,46,1777996085.3885655,True,668,132,1375.0,0.8134939930843565,0.0027015095110982656,-0.06524559110403061,0.2110409140586853,302
1,47,1777996085.4553664,True,668,132,1358.0,0.8126486276911585,0.002492582658305764,-0.06541234999895096,0.21137598156929016,227
